question,answer
How long does vendor vetting take?,"New vendor applications are reviewed within 5–7 business days. Vetting covers compliance certifications, insurance, financial health, client references, and security posture. Vendors are re-evaluated annually."
What categories of vendors are available?,"ConnectHub lists providers across 18 categories: IT infrastructure, cybersecurity, cloud services, legal & compliance, HR & staffing, marketing & creative, logistics, facilities management, finance & accounting, and more."
How do you handle a vendor dispute?,"Buyers can raise a dispute through the platform dashboard. ConnectHub's resolution team mediates within 48 hours. For contract-level disputes, our in-house procurement counsel provides non-binding arbitration at no extra cost on Business and Enterprise plans."
Is our procurement data kept private?,"Yes. Buyer search activity, shortlists, and contract details are never shared with vendors or third parties. ConnectHub is SOC 2 Type II certified and GDPR compliant."
Can we bring our existing vendors onto the platform?,"Yes. The Bring Your Own Vendor feature lets you add existing suppliers, run them through our vetting workflow, and manage all contracts in one place. Available on Business and Enterprise plans."
What is the average time to shortlist a vendor?,"Buyers typically receive a curated shortlist of 3–5 matched providers within 24 hours of submitting a procurement request. AI matching considers budget, timeline, compliance requirements, and industry."
Do you integrate with procurement systems like SAP Ariba or Coupa?,"Yes. ConnectHub has native integrations with SAP Ariba, Coupa, Oracle Procurement Cloud, and Jaggaer. REST API access is available on Enterprise plans for custom ERP integrations."
What happens if a vetted vendor underperforms?,"Buyers can submit a performance report. Vendors with ratings below 3.5/5 across three consecutive engagements are placed under review and suspended from new searches until remediation is complete."
What does the Starter plan include?,"The Starter plan is $499/month and supports up to 5 active vendor searches with access to the full marketplace directory."
What does the Business plan include?,"The Business plan is $1,499/month and includes unlimited searches, a dedicated procurement advisor, custom contract templates, and the Bring Your Own Vendor feature."
Is there a free trial?,"Yes. ConnectHub offers a 14-day free trial on the Starter and Business plans. No credit card required to start."
How is ConnectHub different from a traditional procurement consultant?,"ConnectHub gives you instant access to a pre-vetted vendor network, AI-powered matching, and a self-serve dashboard — all at a fraction of the cost of a traditional consulting engagement, with faster turnaround."
